ID_PVenta,FolioVenta,Total,IVA,IEPS,IDDeposito
89574,AZQ42-161888,15000.0,2.0,0.0,1417
278933,AZQ13-164231,15000.0,2.0,0.0,1416
279279,AZQ18-164239,15000.0,2.0,0.0,1415
396279,AZQ12-165734,15000.0,2.0,0.0,1338
18650,AWW33-101953,7761.6,0.0,0.0,1338
27146,AZG162324-155989,8556.66,0.0,0.0,1414
24509,AZO56-114470,7808.8,0.0,0.0,1414
32448,AZQ07-161168,6750.56,0.0,0.0,1413
49070,AZF39-153488,6750.56,0.0,0.0,1413
17408,AWW33-101939,6429.6,0.0,0.0,1413
349688,AZE19-145819,6000.0,827.4,0.0,1412
18428,AWW37-101947,5950.0,0.0,0.0,1412
18186,AZQ59-160980,5775.0,0.0,0.0,1412
18533,AWW59-101950,5652.0,0.0,0.0,1411
27147,AZG162324-155989,5400.0,0.0,0.0,1411
162565,AWX42-166856,5300.0,730.87,0.0,1411
38830,AZO41-114588,4705.75,0.0,0.0,1410
61841,AZU50-172092,4500.0,620.55,0.0,1410
329273,AWX52-169295,4500.0,620.55,0.0,1410
347994,AZQ02-165086,4500.0,620.55,0.0,1410
353220,AZK12-126273,4500.0,620.55,0.0,1409
884318,AWX49-177032,4290.0,591.63,0.0,1409
37045,AZG28-156091,4278.33,0.0,0.0,1409
36960,AZQ25-161206,3965.76,0.0,0.0,1409
38831,AZO41-114588,3956.75,0.0,0.0,1408
17651,AZQ17-160969,3612.0,0.0,0.0,1408
40072,AZG03-156135,3600.0,0.0,0.0,1408
23933,AZF27-153274,3437.95,0.0,0.0,1408
13706,AZJ44-154087,3375.28,0.0,0.0,1408
17407,AWW33-101939,3375.28,0.0,0.0,1407
18532,AWW59-101950,3375.28,0.0,0.0,1407
18534,AWW59-101950,3375.28,0.0,0.0,1407
18635,AZY04-217723,3375.28,0.0,0.0,1407
19237,AWX37-164838,3375.28,0.0,0.0,1407
21389,AWI26-156145,3375.28,0.0,0.0,1406
21505,AZW08-215032,3375.28,0.0,0.0,1406
23558,AZN32-137348,3375.28,0.0,0.0,1406
23992,AZH23-150636,3375.28,0.0,0.0,1406
26826,AZW45-215127,3375.28,0.0,0.0,1406
27545,AZA24-107473,3375.28,0.0,0.0,1404
27681,AZJ08-154340,3375.28,0.0,0.0,1404
28150,AZJ40-154353,3375.28,0.0,0.0,1404
28151,AZJ40-154353,3375.28,0.0,0.0,1404
28377,AZJ05-154360,3375.28,0.0,0.0,1404
29358,AZJ51-154376,3375.28,0.0,0.0,1403
30858,AZJ35-154399,3375.28,0.0,0.0,1403
32049,AZQ02-161163,3375.28,0.0,0.0,1403
33725,AZY16-217929,3375.28,0.0,0.0,1403
35998,AZJ59-154439,3375.28,0.0,0.0,1403
36142,AZE075104-142256,3375.28,0.0,0.0,1402
36289,AZB080024-134303,3375.28,0.0,0.0,1402
37803,AZJ58-154471,3375.28,0.0,0.0,1402
38775,AWI17-156388,3375.28,0.0,0.0,1402
39906,AZD19-160240,3375.28,0.0,0.0,1402
44193,AZN31-137530,3375.28,0.0,0.0,1401
44667,AWI03-156452,3375.28,0.0,0.0,1401
47675,AZJ14-154627,3375.28,0.0,0.0,1401
52181,AZW00-215429,3375.28,0.0,0.0,1401
187680,AZW48-217560,3375.28,0.0,0.0,1401
189832,AZQ51-163130,3375.28,0.0,0.0,1382
192770,AZJ39-156281,3375.28,0.0,0.0,1382
1038082,AZQ46-173553,3375.28,0.0,0.0,1382
1038248,AZQ50-173555,3375.28,0.0,0.0,1382
1038480,AZQ44-173559,3375.28,0.0,0.0,1382
1038514,AWI13-167436,3375.28,0.0,0.0,1382
1039621,AWI36-167467,3375.28,0.0,0.0,1382
1040702,AZQ26-173593,3375.28,0.0,0.0,1371
1045113,AZN06-147322,3375.28,0.0,0.0,1371
1038481,AZQ44-173559,3318.0,0.0,0.0,1371
185889,AZK01-124500,3300.0,455.07,0.0,1371
454204,AWI42-160970,3300.0,455.1,0.0,1371
1002253,AZQ14-173084,3300.0,455.1,0.0,1371
52658,AZQ56-161427,3227.07,0.0,0.0,1371
28800,AZT33-186864,3174.15,0.0,0.0,1370
8293,AZL22-204095,3154.2,0.0,0.0,1370
21543,AZO120759-114439,3145.8,0.0,0.0,1370
65324,AZY12-218333,3144.75,0.0,0.0,1370
1037068,AZQ45-173541,3135.63,0.0,0.0,1370
21544,AZO120759-114439,3124.8,0.0,0.0,1370
64228,AZK16-123312,3092.25,0.0,0.0,1370
38832,AZO41-114588,3084.08,0.0,0.0,1370
845922,AWX06-176471,3080.0,424.76,0.0,1369
45540,AWW23-102144,3060.0,0.0,0.0,1369
185136,AZT49-188891,3049.2,0.0,0.0,1369
182946,AWI32-157936,3029.06,0.0,0.0,1369
5393,AZK15-122617,3000.0,413.7,0.0,1369
57828,AWX59-165390,3000.0,413.7,0.0,1369
74538,AZK25-123409,3000.0,413.7,0.0,1369
135881,AZK27-123966,3000.0,413.7,0.0,1369
356467,AWX32-169697,3000.0,413.7,0.0,1368
524923,AZQ39-167369,2970.0,409.59,0.0,1368
1032793,AZH55-160719,2813.13,0.0,0.0,1368
46586,AZW12-215359,2637.97,0.0,0.0,1368
1032794,AZH55-160719,2619.85,0.0,0.0,1368
18043,AZQ39-160978,2614.5,0.0,0.0,1368
1034284,AZF36-164490,2590.8,0.0,0.0,1368
26396,AZC29-207189,2493.01,0.0,0.0,1368
38833,AZO41-114588,2486.72,0.0,0.0,1368
50669,AZL41-204735,2463.0,0.0,0.0,1367
1039619,AWI36-167467,2449.8,0.0,0.0,1367
1039620,AWI36-167467,2449.8,0.0,0.0,1367
84436,AZG41-156608,2448.25,0.0,0.0,1367
1977,AZQ57-160759,2432.08,0.0,0.0,1367
56859,AZN05-137633,2412.22,0.0,0.0,1367
89396,AZU49-172351,2400.0,330.96,0.0,1367
24924,AZQ14-161074,2392.25,0.0,0.0,1367
40071,AZG03-156135,2376.85,0.0,0.0,1367
12373,AZL50-204152,2340.92,0.0,0.0,1367
12374,AZL50-204152,2340.92,0.0,0.0,1367
12375,AZL50-204152,2340.92,0.0,0.0,1366
12376,AZL50-204152,2340.92,0.0,0.0,1366
22289,AZH13-150623,2340.92,0.0,0.0,1366
25268,AZG15-155966,2340.92,0.0,0.0,1366
31135,AZL21-204454,2340.92,0.0,0.0,1366
31136,AZL21-204454,2340.92,0.0,0.0,1366
31137,AZL21-204454,2340.92,0.0,0.0,1366
31138,AZL21-204454,2340.92,0.0,0.0,1366
42366,AZH26-150824,2340.92,0.0,0.0,1366
42367,AZH26-150824,2340.92,0.0,0.0,1366
47824,AZI13-159370,2340.92,0.0,0.0,1366
48894,AZP44-100366,2340.92,0.0,0.0,1365
50660,AZL41-204735,2340.92,0.0,0.0,1365
50661,AZL41-204735,2340.92,0.0,0.0,1365
50662,AZL41-204735,2340.92,0.0,0.0,1365
50663,AZL41-204735,2340.92,0.0,0.0,1365
182863,AZG141134-157757,2340.92,0.0,0.0,1365
189116,AZL46-206791,2340.92,0.0,0.0,1365
189117,AZL46-206791,2340.92,0.0,0.0,1365
189118,AZL46-206791,2340.92,0.0,0.0,1365
189119,AZL46-206791,2340.92,0.0,0.0,1365
44285,AZW15-215334,2269.49,0.0,0.0,1365
1345,AZA12-107154,2261.87,0.0,0.0,1364
45789,AZL59-204670,2248.75,0.0,0.0,1364
26566,AWI59-156201,2210.25,0.0,0.0,1364
177594,AWW19-103161,2210.0,0.0,0.0,1364
20817,AZX06-189373,2205.99,0.0,0.0,1364
845245,AZQ47-171437,2200.0,303.4,0.0,1364
17867,AZL10-204251,2199.0,0.0,0.0,1364
38834,AZO41-114588,2188.8,0.0,0.0,1364
18439,AWW04-101948,2167.5,0.0,0.0,1364
190797,AZC23-209623,2163.72,0.0,0.0,1364
10537,AZG15-155765,2162.88,0.0,0.0,1364
85250,AZL28-205142,2161.25,0.0,0.0,1364
97197,AZH39-151547,2153.37,0.0,0.0,1363
102834,AZF27-154052,2151.56,0.0,0.0,1363
94887,AZA08-107877,2150.24,0.0,0.0,1363
45541,AWW23-102144,2148.0,0.0,0.0,1363
43461,AZA06-107587,2134.12,0.0,0.0,1363
47010,AZO41-114655,2129.75,0.0,0.0,1363
64796,AZL55-204872,2118.9,0.0,0.0,1363
51060,AZT56-187138,2103.48,0.0,0.0,1363
21905,AZQ18-161023,2100.0,289.59,0.0,1363
169894,AWX01-166949,2100.0,289.59,0.0,1363
340926,AWI56-159688,2100.0,289.59,0.0,1363
352956,AZQ42-165170,2100.0,289.59,0.0,1363
395648,AZK47-126776,2100.0,289.59,0.0,1362
533515,AWI22-161915,2090.0,288.23,0.0,1362
1921,AZC50-206846,2084.55,0.0,0.0,1362
1043722,AZC42-222867,2083.92,0.0,0.0,1362
19410,AZJ58-154170,2081.53,0.0,0.0,1362
156489,AZQ44-162677,2075.18,0.0,0.0,1362
177359,AWI17-157868,2069.02,0.0,0.0,1362
37109,AZI20-159259,2057.6,0.0,0.0,1362
1726,AZN08-137137,2055.5,0.0,0.0,1362
4377,AZN58-137163,2043.0,0.0,0.0,1362
10162,AZN35-137225,2043.0,0.0,0.0,1362
26883,AWW160612-102020,2043.0,0.0,0.0,1362
38743,AWW26-102101,2043.0,0.0,0.0,1362
38744,AWW26-102101,2043.0,0.0,0.0,1361
38745,AWW26-102101,2043.0,0.0,0.0,1361
177782,AZW55-217414,2043.0,0.0,0.0,1361
186289,AWW06-103254,2043.0,0.0,0.0,1361
42546,AZA59-107574,2040.3,0.0,0.0,1361
11727,AZM22-135987,2029.12,0.0,0.0,1361
6675,AZE12-141936,2028.25,0.0,0.0,1361
44840,AZA07-107595,2026.5,0.0,0.0,1361
24925,AZQ14-161074,2021.25,0.0,0.0,1361
64137,AZK28-123310,2004.45,0.0,0.0,1361
103287,AZL17-205406,2001.0,0.0,0.0,1361
57831,AZJ32-154731,1997.6,0.0,0.0,1361
150568,AZW30-216959,1997.6,0.0,0.0,1361
37367,AZI02-159262,1986.64,0.0,0.0,1360
687828,AZQ19-169438,1980.0,273.06,0.0,1360
36001,AZJ59-154439,1964.24,0.0,0.0,1360
189833,AZQ51-163130,1961.4,0.0,0.0,1360
11561,AZY09-217617,1958.34,0.0,0.0,1360
466,AWW24-101807,1955.16,0.0,0.0,1360
3616,AZO31-114254,1952.2,0.0,0.0,1360
12770,AZI24-159001,1952.2,0.0,0.0,1360
13707,AZJ44-154087,1952.2,0.0,0.0,1360
17845,AZO10-114397,1952.2,0.0,0.0,1360
18531,AWW59-101950,1952.2,0.0,0.0,1360
21917,AWI57-156158,1952.2,0.0,0.0,1360
24033,AZI16-159117,1952.2,0.0,0.0,1360
24374,AZV36-119887,1952.2,0.0,0.0,1360
37090,AZJ02-154454,1952.2,0.0,0.0,1359
38779,AZP21-100291,1952.2,0.0,0.0,1359
38954,AZL50-204568,1952.2,0.0,0.0,1359
42107,AZP03-100315,1952.2,0.0,0.0,1359
43455,AZI49-159327,1952.2,0.0,0.0,1359
44130,AZG11-156196,1952.2,0.0,0.0,1359
44481,AWI13-156449,1952.2,0.0,0.0,1359
44668,AWI03-156452,1952.2,0.0,0.0,1359
44669,AWI03-156452,1952.2,0.0,0.0,1359
44670,AWI03-156452,1952.2,0.0,0.0,1359
46035,AWI30-156466,1952.2,0.0,0.0,1359
48186,AVA23-61991,1952.2,0.0,0.0,1359
51727,AZK14-123144,1952.2,0.0,0.0,1359
53136,AZL19-204762,1952.2,0.0,0.0,1359
60496,AZI31-159508,1952.2,0.0,0.0,1358
60497,AZI31-159508,1952.2,0.0,0.0,1358
153177,AWX48-166732,1952.2,0.0,0.0,1358
153719,AZJ12-155728,1952.2,0.0,0.0,1358
175796,AWI34-157849,1952.2,0.0,0.0,1358
176363,AWW32-103150,1952.2,0.0,0.0,1358
176900,AZS54-149525,1952.2,0.0,0.0,1358
176946,AWI38-157865,1952.2,0.0,0.0,1358
176947,AWI38-157865,1952.2,0.0,0.0,1358
183172,AZL42-206707,1952.2,0.0,0.0,1358
191699,AZJ19-156273,1952.2,0.0,0.0,1358
1038278,AWI53-167428,1952.2,0.0,0.0,1358
1039618,AWI36-167467,1952.2,0.0,0.0,1358
1040704,AZQ26-173593,1952.2,0.0,0.0,1358
1041620,AZG07-168577,1952.2,0.0,0.0,1357
1052961,AZI00-170664,1952.2,0.0,0.0,1357
5670,AZJ27-153975,1951.25,0.0,0.0,1357
45539,AWW23-102144,1950.0,0.0,0.0,1357
184673,AZU57-173745,1949.62,0.0,0.0,1357
19712,AVZ19-83608,1947.75,0.0,0.0,1357
1036705,AZQ56-173532,1939.52,0.0,0.0,1357
44597,AVC51-84682,1937.25,0.0,0.0,1357
39019,AZH29-150787,1914.5,0.0,0.0,1357
26794,AZU10-171638,1914.36,0.0,0.0,1357
61898,AVC34-84879,1913.89,0.0,0.0,1357
144455,AWW36-102912,1911.6,0.0,0.0,1357
176967,AZY57-220090,1911.6,0.0,0.0,1357
32048,AZQ02-161163,1909.95,0.0,0.0,1357
58811,AZH01-151000,1908.37,0.0,0.0,1357
44479,AZQ03-161317,1907.5,0.0,0.0,1356
150510,AWW27-102964,1902.0,0.0,0.0,1356
46227,AZC20-207492,1898.65,0.0,0.0,1356
72205,AZL08-204968,1895.25,0.0,0.0,1356
41290,AZK52-123027,1893.57,0.0,0.0,1356
40503,AZH38-150802,1893.54,0.0,0.0,1356
53576,AZK35-123167,1890.72,0.0,0.0,1356
63514,AZA00-107659,1890.0,0.0,0.0,1356
150509,AWW27-102964,1890.0,0.0,0.0,1356
181220,AZK40-124448,1888.95,0.0,0.0,1356
84437,AZG41-156608,1881.25,0.0,0.0,1356
1047665,AZM20-146406,1873.36,0.0,0.0,1356
80678,AWW35-102445,1871.34,0.0,0.0,1356
1031662,AZV13-129378,1867.32,0.0,0.0,1356
179711,AZW16-217450,1865.04,0.0,0.0,1356
75777,AZC15-208053,1863.36,0.0,0.0,1355
1039788,AWI21-167480,1860.3,0.0,0.0,1355
175215,AZG31-157638,1858.81,0.0,0.0,1355
33727,AZY16-217929,1853.28,0.0,0.0,1355
189834,AZQ51-163130,1851.15,0.0,0.0,1355
192771,AZJ39-156281,1850.39,0.0,0.0,1355
1031219,AVC11-94500,1849.12,0.0,0.0,1355
19745,AVC56-84420,1848.24,0.0,0.0,1355
178774,AZJ30-156078,1845.94,0.0,0.0,1355
179710,AZW16-217450,1844.52,0.0,0.0,1355
37118,AZP07-100282,1841.1,0.0,0.0,1355
182676,AZL50-206696,1834.3,0.0,0.0,1355
55391,AZQ09-161452,1831.9,0.0,0.0,1355
20823,AZH50-150600,1831.37,0.0,0.0,1355
46832,AZU23-171906,1830.94,0.0,0.0,1355
46831,AZU23-171906,1827.5,0.0,0.0,1355
51,AZA06-107113,1827.04,0.0,0.0,1354
141277,AWW33-102878,1826.89,0.0,0.0,1354
27218,AZO52-114493,1821.75,0.0,0.0,1354
46833,AZU23-171906,1818.9,0.0,0.0,1354
1031618,AVC45-94509,1814.83,0.0,0.0,1354
8093,AZU30-171317,1811.16,0.0,0.0,1354
185999,AWW08-103249,1810.5,0.0,0.0,1354
93516,AZU12-172386,1808.58,0.0,0.0,1354
32491,AZQ49-161169,1800.0,248.22,0.0,1354
37049,AZQ52-161209,1800.0,0.0,0.0,1354
100868,AWX33-165996,1800.0,248.22,0.0,1354
179996,AWX54-167095,1800.0,248.22,0.0,1354
199926,AZK55-124699,1800.0,248.22,0.0,1354
207946,AZQ08-163405,1800.0,248.22,0.0,1354
242752,AWX51-168051,1800.0,248.22,0.0,1354
280580,AZQ59-164260,1800.0,248.22,0.0,1354
198001,AZC42-209718,1798.95,0.0,0.0,1353
178766,AZL32-206614,1798.16,0.0,0.0,1353
